topic_id,topic_abbr,standard_id
1,data_science,
2,datasets,18
2,datasets,3
3,r_intro,2
4,data_fundamentals,2
4,data_fundamentals,5
5,summarizing,19
6,learning_code,1
7,grammar_graphics,10
8,viz_conventions,14
8,viz_conventions,15
9,designing_graphics,14
9,designing_graphics,15
10,frequency_Plots,10
11,boxplots,11
12,multivariate,11
13,github,2
14,markdown,3
15,recap1,
16,subsetting,6
17,aggregating,7
18,facet_filter,11
18,facet_filter,6
19,data_acquisition,16
20,pivoting,8
21,tidying,20
22,joining,9
23,apis,17
24,joining_apis,9
24,joining_apis,17
25,functions,4
26,practicing_functions,4
27,recap2,
28,projections,12
29,leaflet,12
30,interpretation,14
31,polygons,13
32,layering,13
33,chloropleth,15
33,chloropleth,13
34,tbd1,
35,tbd2,
36,recap3,
37,final1,
38,final2,
39,final3,