topic_id,topic_abbr,writing_assignment,link
1,data_science,,
2,datasets,Fill out First Day of Class Questionnaire in Moodle,
3,r_intro,,
4,data_fundamentals,Finish RStudio/GitHub Set-up,
5,summarizing,,
6,learning_code,,
7,grammar_graphics,,
8,viz_conventions,,
9,designing_graphics,Quiz 1,
10,frequency_Plots,,
11,boxplots,,
12,multivariate,,
13,github,,
14,markdown,Quiz 2,
15,recap1,,
16,subsetting,,
17,aggregating,,
18,facet_filter,,
19,data_acquisition,,
20,pivoting,Quiz 3,
21,tidying,,
22,joining,,
23,apis,,
24,joining_apis,,
25,functions,,
26,practicing_functions,Quiz 4,
27,recap2,,
28,projections,,
29,leaflet,Quiz 5,
30,interpretation,,
31,polygons,,
32,layering,,
33,chloropleth,,
34,tbd1,,
35,tbd2,Quiz 6,
36,recap3,,
37,final1,,
38,final2,,
39,final3,Quiz 7,